,index,Review,Label
363,Everyone at this location were especially friendly,Friendly,
364,I like how its affordable and the agent didn't try to sell me unnecessary services,Professional,Fair price
365,Don't believe in going to different places to have my car maintenanced,Good customer service,
366,Speedy and excellent customer service,Fast/Quick/Speedy/Timely,Good customer service
367,Quick service; informative; friendly staff,Fast/Quick/Speedy/Timely,Friendly
368,Brakes,Other,
369,"Jiffy Lube service team/staff are always attentive, informative and thorough in the service delivery",Good customer service,Knowledgeable employees
370,"Handled promptly with great care,customer services was excellent",Good customer service,Knowledgeable employees
371,It depends on if Jiffy Lube covers the service that my vehicle needs,Convenient,
372,Great customer service,Good customer service,
373,location,Convenient,
374,"I am always notified about my needed services, I don't have to worry about things in my car going wrong and not given information about what I should do to rectify the problem",Professional,
375,Courtesy of the staff!!!,Courtesy,
376,"The service was great very friendly crew, quickly completed the service and seemed to have valued my time",Friendly,Fast/Quick/Speedy/Timely
377,Yes,Other,
378,Professionalism and personable interaction,Professional,
379,"They always take care of my car and help me keep take care of my car,every one is always polite,i will continue to come to jiffy lube where I feel comfortable,thank you jiffy lube",Good customer service,
380,Technicians were very professional and expeditious with the service,Professional,
381,You guys can service my vehicles cheaper than I can,Fair price,
382,Professionalism,Professional,
383,fast service,Fast/Quick/Speedy/Timely,
384,"Quick, simple and easy",Fast/Quick/Speedy/Timely,
385,The customer service was excellent!,Good customer service,
386,Friendly staff and the Manager there is always on point with His experience mindset on my Car,Friendly,
387,The Service was good,Good customer service,
388,The professional service and time it was done in,Professional,
389,I  have been coming to jiffy lube for many years and have consistently received top notch service,Good customer service,
390,"Great customer service, speedy maintenance, & explanation of services",Good customer service,Fast/Quick/Speedy/Timely
391,Was told will top off fluids and vacuum and check tire pressure,Knowledgeable employees,
392,"Quick, easy, and everything was relatively cheap",Fast/Quick/Speedy/Timely,
393,Price around,Fair price,
394,I love that they can give me a print out of everything I have had done at Jiffy Lube,Good customer service,Responsible
395,great service hardly no wait time,Good customer service,Fast/Quick/Speedy/Timely
396,Dependable & fast,Fast/Quick/Speedy/Timely,Trustworthy
397,Excellent service and fast,Good customer service,Fast/Quick/Speedy/Timely
398,I have been coming to Jiffy Lube for about a year now,Other,
399,I received outstanding service in every way,Good customer service,
400,Air filter windshield repair,Have equipment needed,
401,Your team is so friendly and wonderful!,Friendly,
402,"People was very nice, service was quick",Fast/Quick/Speedy/Timely,
403,Great customer service and everything was done as requested and expected,Good customer service,
404,I appreciate their friendliness and honesty,Friendly,
405,the staff was nice,Friendly,
406,Friendly and prompt service,Friendly,
407,Fast friendly service,Friendly,
408,The attitudes of all the employees I encountered was great,Courtesy,
409,Convenance and quality of service,Convenient,Good customer service
410,price,Fair price,
411,they were friendly & efficient,Friendly,
412,Good service,Good customer service,
413,Convenience,Convenient,
414,Fast service and the associates were nice,Fast/Quick/Speedy/Timely,Friendly
415,Convience and time effective,Convenient,Fast/Quick/Speedy/Timely
416,The customer service interaction was just wonderful! They've found a longtime customer here! Keep up the great work guys!,Good customer service,
417,I like the work they do,Good customer service,
418,Good service,Good customer service,
419,Cooperative and knowledgable staff,Professional,Knowledgeable employees
420,Manager Eric Roda backs up his work and is no lazy ass,Good customer service,Professional
421,It all depends on what needs to be done,Convenient,
422,Prompt and complete service,Good customer service,Fast/Quick/Speedy/Timely
423,Price,Fair price,
424,Service,Good customer service,
425,"The employees were great at helping me understand any potential issues with my vehicle, and the customer service in general was wonderful!",Good customer service,
426,The staff,Courtesy,
427,I love Jiffy Lube! They always get the job done! They are so friendly opening the door for me and my family and servicing me in a timely manner,Friendly,
428,"VERY nice, polite, friendly crew",Friendly,
429,The gentleman was very polite and kind when I came in and was running late in the afternoon,Courtesy,
430,"Fast,  efficient service",Fast/Quick/Speedy/Timely,
431,Guys were fast very nice and professional,Fast/Quick/Speedy/Timely,Professional
432,Nice people fast service,Fast/Quick/Speedy/Timely,Friendly
433,Was told the dip stick was stuck and could not be removed to check oil level prior to service,Knowledgeable employees,
434,"Quality, timeliness (I mean 12 minutes), care, and kindness",Good customer service,Fast/Quick/Speedy/Timely
435,I have been using Jiffy Lube for years and all my vehicles have had no major repairs,Good customer service,
436,"Fast, convenient",Fast/Quick/Speedy/Timely,Convenient
437,Everyone was friendly and the service was quick,Friendly,Fast/Quick/Speedy/Timely
438,Friendly efficient staff,Friendly,
439,Always get quick and professional service,Fast/Quick/Speedy/Timely,
440,"personalized service, technicians very courteous and not to mention, completed in a very short time frame",Courtesy,Fast/Quick/Speedy/Timely
441,Great service,Good customer service,
442,I felt Larry was honest about what I needed and what I didn't need,Trustworthy,
443,Prompt and courteous service,Fast/Quick/Speedy/Timely,Courtesy
444,Extremely PROFESSIONAL! knowledgable and pleasant!,Professional,
445,Quick service and explanation of service,Fast/Quick/Speedy/Timely,
446,"Friendly staff, quality service",Friendly,
447,Just didn't feel like a valued customer,Good customer service,
448,Reputation and commitment to customers,Good customer service,
449,I like that the service man did not push me to authorize extra car maintenance's jobs,Professional,
450,Courteous and speedy service,Courtesy,Fast/Quick/Speedy/Timely
451,I like the convenience of no appointment quick in and out!,Fast/Quick/Speedy/Timely,
452,"quick, professional, great value, and I leave knowing my car got what it needed without wasting money",Fast/Quick/Speedy/Timely,Professional
453,I am new to the area and haven't had the chance to see the competitors,Convenient,
454,Very kind staff,Professional,
455,The service that goes beyond an oil change,Good customer service,
456,Good service,Good customer service,
457,"very fast, cheap, friendly",Friendly,
458,The hot guys number #1 and the service is always fast n the quality of work,Good customer service,Fast/Quick/Speedy/Timely
459,"The staff was friendly and knowledgeable, they were just great",Friendly,Knowledgeable employees
460,Good service and prices and small waiting time,Good customer service,Fair price
461,Price and convience,Fair price,
462,Quick courteous service,Fast/Quick/Speedy/Timely,Courtesy
463,Fast service no appt necessary,Fast/Quick/Speedy/Timely,
464,Price,Fair price,
465,Depends on if there are any sales/coupons for work needed,Discounts/Coupons,
466,convenience and speed,Convenient,Fast/Quick/Speedy/Timely
467,I was very I satisfied that the last time I was there after visiting several times prior I was finally told about the Top Off deal Jiffy Lube offers,Discounts/Coupons,
468,Quickness of service and price,Fast/Quick/Speedy/Timely,
469,"speed,kindness",Fast/Quick/Speedy/Timely,
470,Fast and friendly service,Friendly,
471,"Friendly, honest service",Friendly,
472,Always quick and job is done well,Fast/Quick/Speedy/Timely,
473,I enjoy the prompt and courteous treatment by your knowledgeable staff,Knowledgeable employees,Courtesy
474,the speed and quality of the service,Fast/Quick/Speedy/Timely,
475,"Overall Customer Service, from start to finish",Good customer service,
476,"They were very quick friendly, quick and did a great job",Friendly,
477,Everyone is professional and friendly,Professional,Friendly
478,price,Fair price,
479,Great work and fast,Good customer service,Fast/Quick/Speedy/Timely
480,The staff was efficient and courteous,Good customer service,Courtesy
481,Excellent customer service and prompt service,Good customer service,
482,Will return for oil changes,Have equipment needed,
483,Depends on the service in question,Convenient,
484,Convenience,Convenient,
485,"Great value & convenience, plus services well performed",Value,
486,Fast service and reasonable price,Fast/Quick/Speedy/Timely,Fair price
487,Depends on the specific service needed,Good customer service,
488,Great customer service & short wait time,Good customer service,
489,Clean and courteous keeps me coming back,Courtesy,Good customer service
490,Some things,Other,
491,I'll return just at a different time because it was very crowded so my wait took a little longer than expected,Close to home,Convenient
492,The customer service,Good customer service,
493,Good customer service,Good customer service,
494,Great customer service,Good customer service,
495,The person who helped and reviewed my cars analysis was very thorough and helpful,Knowledgeable employees,
496,I usually just get oil changes and small things done at Jiffy Lube due to convienence I have a mechanic for all other things,Convenient,
497,tire check,Other,
498,Staff was knowledgeable and very courteous,Knowledgeable employees,Courtesy
499,"Great service, staff very helpful and I just appreciate the attention to detail",Good customer service,Knowledgeable employees
500,"Friendly greeting, coffee,  tv :-)",Friendly,
501,Theirron friendly and professional,Friendly,Professional
502,Manners the employees use even as simply holding a door for each customer sure don't see that anymore good job,Good customer service,
503,The service was quick and excellent,Fast/Quick/Speedy/Timely,
504,From the greeting to my departing from jiffy lube,Good customer service,
505,The pp were so nice!!!!,Good customer service,
506,Good fast service,Good customer service,Fast/Quick/Speedy/Timely
507,The knowledge that the staff had was impressive and the way they treated me was excellent,Good customer service,Knowledgeable employees
508,Good service,Good customer service,
509,Timely fashion,Fast/Quick/Speedy/Timely,
510,One of the best customer service teams I have ever encountered,Good customer service,
511,"The staff was courteous, helpful and efficient!",Courtesy,
512,The courtesy & convenient a consumer given while tour vehicle is serviced,Courtesy,Convenient
513,Employees greeted me and were very attentive,Good customer service,Professional
514,"Treated courteously, work explained thoroughly, work done quickly",Courtesy,Fast/Quick/Speedy/Timely
515,overall service,Good customer service,
516,Quick service,Fast/Quick/Speedy/Timely,
517,Fastness of service,Fast/Quick/Speedy/Timely,
518,"Price,and consistancy",Fair price,
519,The customer service was wonderful,Good customer service,
520,"Fast, effecient, and clean",Good customer service,Fast/Quick/Speedy/Timely
521,Mitchell is excellent in his role as the manager at the Western Blvd location in Raleigh NC,Professional,
522,The customer service was excellent and it always is when i visit this particular location,Good customer service,
523,"Free coffee, clean waiting area, nice mechanic, and speedy service",Other,Fast/Quick/Speedy/Timely
524,Customer service,Good customer service,
525,"Friendly staff, very accommodating and extremely helpful all around",Friendly,
526,The gentlemen are very attentive & curteus from the moment the customer arrives,Good customer service,
527,I was impressed with the speed of and courtesy rendered at my most recent service stop,Fast/Quick/Speedy/Timely,Courtesy
528,Jose is an excellent manager!,Professional,
529,It was done right,Good customer service,
530,Explained everything in detail to me,Knowledgeable employees,
531,Trust and knowledge,Trustworthy,Knowledgeable employees
532,Clear explanations of work being done and associated costs,Trustworthy,Cost
533,It was great,Good customer service,
534,Good service,Good customer service,
535,The service was nice,Good customer service,
536,Been going here for years ,Trustworthy,
537,Good people,Good customer service,
538,Went on a busy day and they seemed to be more interested in getting customers out the door than up selling  services,Good customer service,
539,"Very professional , they vacuumed my car and checked,double checked all fluids",Professional,
540,"Fast, friendly, and repectable staff",Friendly,
541,i try to get work done by family or friends because I can't afford much,Friendly,
542,"Unless it's a warranty issue, I would return to Jiffy Lube for maintenance",Other,
543,"The guys are great, keep track of my past service records and are very friendly and helpful - been going to the same one for over 20 years!",Friendly,
544,The prompt service I received when I had the oil changed,Fast/Quick/Speedy/Timely,
545,Years of good service at this store,Good customer service,
546,"Quick, reliable, great customer service",Fast/Quick/Speedy/Timely,Good customer service
547,The jiffy team is professional,Professional,
548,The team is very officiant and friendly,Friendly,
549,"Nice people, quick service",Fast/Quick/Speedy/Timely,Friendly
550,I like that I was there for only 30 minutes,Fast/Quick/Speedy/Timely,
551,Yes the gentlemen who waited on me were very pleasant and had a wonderful smile last name was Boone,Courtesy,
552,Fast and reasonably priced,Fast/Quick/Speedy/Timely,Fair price
553,do to the nature of thier going out the made excellent Customer service to at least accommodate myself and 2 other customer's,Good customer service,
554,I appreciate the attention that I got and the communication of the staff,Courtesy,Professional
555,Clean,Other,
556,The customer service was great and there was no wait,Good customer service,
557,Previous experience,Good customer service,
558,"Quick, efficient service - very polite",Fast/Quick/Speedy/Timely,
559,Pricing,Fair price,
560,Good service and reasonable prices,Good customer service,Fair price
561,I've been coming there for a while,Other,
562,Fast and convenient to work,Fast/Quick/Speedy/Timely,Convenient
563,Friendly and courteous,Friendly,Courtesy
564,"Quick, competent service",Fast/Quick/Speedy/Timely,
565,Just great and friendly service,Friendly,
566,Everyone was very attentive to my requirements,Professional,
567,Good service,Good customer service,
568,7 minute oil change,Fast/Quick/Speedy/Timely,
569,Good service,Good customer service,
570,The workers are very friendly and very plight,Friendly,
571,Super fast oil change,Fast/Quick/Speedy/Timely,
572,"Customer service was excellent, courteous, and professional",Good customer service,Courtesy
573,I've been going to Jiffy lube for decades,Good customer service,
574,Pretty fast turn around time,Fast/Quick/Speedy/Timely,
575,"I WILL return, is that a better answer?",Good customer service,
576,Professional and quick service,Professional,Fast/Quick/Speedy/Timely
577,Great attitude,Courtesy,
578,Everyone was very polite and service was quick,Good customer service,Fast/Quick/Speedy/Timely
579,Quick service!,Fast/Quick/Speedy/Timely,
580,Nice people,Friendly,
581,"They was Very Knowledgeable,Patient and VERY PROFESSIONAL",Knowledgeable employees,Professional
582,Friendly people and knowledgable workers,Friendly,
583,"Fast, convenient location, good price, good service",Close to home,Convenient
584,The Jiffy Lube I go to always has the most friendly staff and they do a great job,Friendly,
585,Quick and friendly service,Fast/Quick/Speedy/Timely,Friendly
586,Thorough in checking fluids and other things,Knowledgeable employees,
587,Quick friendly service,Fast/Quick/Speedy/Timely,Friendly
588,The Woodbridge store generally does a good job and quickly,Good customer service,Fast/Quick/Speedy/Timely
589,They were polite and quick,Courtesy,Fast/Quick/Speedy/Timely
590,"Fast, friendly service",Friendly,
591,The service was outstanding,Good customer service,
592,"staff always well knowledgeable,and accurate when quoting a time when car is ready",Fair price,Knowledgeable employees
593,The speedy service and how nice they treated me,Fast/Quick/Speedy/Timely,
594,Service was prompt and employees were friendly,Friendly,
595,"Cost, part availability and mechanics availability to specialty tools",Cost,
596,Loved the honesty amd being forthcoming by techs and management,Trustworthy,Knowledgeable employees
597,I frequently use Jiffy Lube and I am always satisfied with the courteous and efficient technicians,Courtesy,
598,Customer service,Good customer service,
599,Customer service was very good,Good customer service,
600,"I was impressed with the speedy, efficient, and friendly service I received",Fast/Quick/Speedy/Timely,Friendly
601,great customer service and prices,Good customer service,Fair price
602,Service time and convence was great,Convenient,Fast/Quick/Speedy/Timely
603,Good quality quick service at a reasonable price by a friendly car service specialist,Good customer service,Fast/Quick/Speedy/Timely
604,Audrey and her team were fast and very efficient,Fast/Quick/Speedy/Timely,
605,"Efficient, friendly service",Friendly,
606,Finished in a timely fashion,Fast/Quick/Speedy/Timely,
607,Good service quickly,Good customer service,Fast/Quick/Speedy/Timely
608,The team is the most reliable and shares their records of all my service calls,Professional,Trustworthy
609,"Great Service, excellent manager",Good customer service,Professional
610,I feel the staff is educated and honest,Trustworthy,Knowledgeable employees
611,Very friendly and my car was completed quickly,Friendly,Fast/Quick/Speedy/Timely
612,Prices people promptness,Fair price,
613,"Because the staff was very professional, friendly, and fast",Fast/Quick/Speedy/Timely,Friendly
614,Great Service and Customer Service,Good customer service,
615,This store has treated me great,Good customer service,
616,The speed and care with which the oil change was completed is the best,Fast/Quick/Speedy/Timely,
617,Price,Fair price,
618,Yes,Other,
619,Fast and efficient,Fast/Quick/Speedy/Timely,
620,Patrick was very thorough with every detail,Knowledgeable employees,
621,Convenience,Convenient,
622,The man who told me everything that I needed didn't push me to get certain things,Professional,Knowledgeable employees
623,Trustworthiness of staff; affordable,Trustworthy,
624,The staff was courteous and fast,Courtesy,
625,"The Staff at the Wall Jiffy Lube are u failing my polite, courteous, professional and efficient",Courtesy,Good customer service
626,Every person I interacted with was friendly and they didn't upon try to add on any extras,Friendly,
627,Quick easy professional,Fast/Quick/Speedy/Timely,Professional
628,thorough  professional  straight forward,Professional,
629,"I have been going to jiffy lube for about 10 years and have always been very satisfied with the service, they are very professional thorough",Professional,
630,Staff,Professional,
631,Service and workers,Good customer service,
632,Great experience,Good customer service,
633,Everyone was curious from when I pulled up until I left,Good customer service,
634,Quick,Fast/Quick/Speedy/Timely,
635,Service,Good customer service,
636,Quick service,Fast/Quick/Speedy/Timely,
637,Easy to get to around work,Convenient,
638,Everyone was very professional and knew what they were doing,Professional,
639,Price,Fair price,
640,Great very friendly,Friendly,
641,In and out very quickly,Fast/Quick/Speedy/Timely,
642,Nice employees,Professional,
643,"Customer service and prompt, quality workmanship",Good customer service,
644,I look for the most competitive price,Fair price,
645,"I liked that they told me that next time I take my car in for a repair, I should ask for a 4-wheel alignment, and then explained why they said that, and what would happen if I did nothing",Knowledgeable employees,
646,convenience,Convenient,
647,Fast courteous service,Courtesy,Fast/Quick/Speedy/Timely
648,guys seemed trustworthy,Trustworthy,
649,Good friendly service,Friendly,
650,Fast service always at this location,Fast/Quick/Speedy/Timely,
651,The customer service I received from the district manager,Good customer service,
652,"Good experience, staff was very professional and I was in and out in a timely matter",Good customer service,Professional
653,It was quick,Fast/Quick/Speedy/Timely,
654,Speedy service,Fast/Quick/Speedy/Timely,
655,Sam (cashier) gave excellent service,Good customer service,
656,Notice new additional services are now available besides just oil change,Other,
657,Polite service and efficient well done work,Courtesy,Good customer service
658,The staff is so friendly & honest,Friendly,
659,"Very professional, courteous, right on time, explained everything that needed to be done to the car",Professional,Courtesy
660,"The guys were prompt, attentive and respectful",Good customer service,Fast/Quick/Speedy/Timely
661,Just overall friendliness of the staff,Friendly,
662,The staff was professional and efficient,Professional,
663,All involved were tuned into their jobs !!,Good customer service,
664,Not sure I trust them with full maintenance needs,Trustworthy,
665,Easy and friendly service,Friendly,
666,Fast service,Fast/Quick/Speedy/Timely,
667,Solid and good experience from being greeted to check out,Good customer service,
668,Awesome service & friendly staff,Friendly,
669,Convenience,Convenient,
670,Guys were great and kept me up to date regarding time,Knowledgeable employees,
671,The manager was very detailed while explaining the options without being to pushy,Professional,Knowledgeable employees
672,"Fast service,no appointment req'd",Fast/Quick/Speedy/Timely,
673,Only because I have a regular service station I use but didn't have the time yesterday,Fast/Quick/Speedy/Timely,
674,You had very good employees with service in mind and a pleasant attitude,Courtesy,Good customer service
675,Quality Service and Techs!!,Knowledgeable employees,
676,The service was so quick and I loved that I was in and out in just under half an hour,Fast/Quick/Speedy/Timely,
677,Great service and fast,Good customer service,Fast/Quick/Speedy/Timely
678,Politeness and speed of work done by employees is exceptional,Fast/Quick/Speedy/Timely,
679,Everyone was amazing red carpet treatment,Good customer service,
680,People are efficient and professional,Good customer service,Professional
681,if I'm in the area and remember to get fluids topped off,Convenient,
682,Friendly helpful staff,Friendly,
683,"very friendly, quick and affordable",Friendly,Fast/Quick/Speedy/Timely
684,Speed and ease of service,Fast/Quick/Speedy/Timely,
685,Nice people and decent service,Good customer service,
686,"the staff was extremely respectful, professional ",Courtesy,Professional
687,Quick and efficient,Fast/Quick/Speedy/Timely,
688,Above and beyond service,Good customer service,
689,Swift and competent,Good customer service,Fast/Quick/Speedy/Timely
690,The Service Was Decent And Pretty quick,Good customer service,Fast/Quick/Speedy/Timely
691,Its close and the staff was courteous and experienced,Close to home,Courtesy
692,"Very curtious, good work, fair price",Courtesy,Good customer service
693,Workers were very helpful and willing to answer any questions I had,Knowledgeable employees,
694,I always use jiffy lube,Good customer service,
695,They did a nice job and a timely manner,Good customer service,Fast/Quick/Speedy/Timely
696,Good service,Good customer service,
697,Snappy fast service,Fast/Quick/Speedy/Timely,
698,For the most part the service is relatively fast and easy to get oil change,Fast/Quick/Speedy/Timely,
699,Employees were very polite I got a very good service,Courtesy,Good customer service
700,Price,Fair price,
701,"Fast and convenient, friendly customer service",Fast/Quick/Speedy/Timely,Convenient
702,We have all our work and personal vehicles done there,Good customer service,
703,Excellent service,Good customer service,
704,I always go to Jiffy Lube,Other,
705,I had an issue with my A/C and they looked into it for me and told me why my check engine light was on,Knowledgeable employees,
706,"Convenient,fast, they did a good job",Convenient,
707,The staff was excellent and I was greeted immediately upon pulling into the parking lot,Courtesy,
708,"I've gone to this place multiple times, and they're always friendly and fast",Friendly,
709,Convenience,Convenient,
710,Quick service,Fast/Quick/Speedy/Timely,
711,Fast & cheap with coupons,Fast/Quick/Speedy/Timely,Discounts/Coupons
712,Jiffy Lube has been doing the majority of my maintenance in the past,Good customer service,
713,Awesome team,Professional,
714,customer service rep was helpful and accommodating---quick service as well!,Good customer service,Fast/Quick/Speedy/Timely
715,Cool doodz,Friendly,
716,Excellent service and professionalism,Good customer service,Professional
717,Very efficient,Good customer service,
718,No waiting,Fast/Quick/Speedy/Timely,
719,Quality mechanics for the job done,Knowledgeable employees,
720,Great service,Good customer service,
721,I always have a wonderful experience at this Jiffy Lube,Good customer service,
722,I perform routine maintenance beyond oil changes,Other,
723,Professional great customer setvice,Professional,Good customer service
